# DataSet FAZIAT2103
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/data/eindraX/fazia/FAZIAT2103/raw/
run=170 | starting date=Sun Apr 18 17:06:28 2021 | nfiles=10 | size(GB)=1.25
run=108 | starting date=Sun Apr 18 15:27:03 2021 | nfiles=10 | size(GB)=1.25
run=290 | starting date=Sun Apr 18 22:32:31 2021 | nfiles=10 | size(GB)=1.25
run=112 | starting date=Sun Apr 18 15:32:18 2021 | nfiles=10 | size(GB)=1.25
run=406 | starting date=Mon Apr 19 02:58:03 2021 | nfiles=10 | size(GB)=1.25
run=319 | starting date=Sun Apr 18 23:37:31 2021 | nfiles=10 | size(GB)=1.25
run=425 | starting date=Mon Apr 19 04:02:10 2021 | nfiles=10 | size(GB)=1.25
run=433 | starting date=Mon Apr 19 04:09:39 2021 | nfiles=10 | size(GB)=1.25
run=274 | starting date=Sun Apr 18 21:21:23 2021 | nfiles=10 | size(GB)=1.25
run=115 | starting date=Sun Apr 18 15:36:05 2021 | nfiles=10 | size(GB)=1.25
run=354 | starting date=Mon Apr 19 00:50:21 2021 | nfiles=5 | size(GB)=0.54
run=101 | starting date=Sun Apr 18 15:17:37 2021 | nfiles=10 | size(GB)=1.25
run=532 | starting date=Mon Apr 19 05:44:34 2021 | nfiles=10 | size(GB)=1.25
run=362 | starting date=Mon Apr 19 01:13:07 2021 | nfiles=10 | size(GB)=1.25
run=259 | starting date=Sun Apr 18 20:59:08 2021 | nfiles=10 | size(GB)=1.25
run=424 | starting date=Mon Apr 19 04:01:15 2021 | nfiles=10 | size(GB)=1.25
run=240 | starting date=Sun Apr 18 20:16:19 2021 | nfiles=10 | size(GB)=1.25
run=415 | starting date=Mon Apr 19 03:24:48 2021 | nfiles=10 | size(GB)=1.25
run=93 | starting date=Sun Apr 18 15:07:53 2021 | nfiles=10 | size(GB)=1.25
run=249 | starting date=Sun Apr 18 20:35:10 2021 | nfiles=10 | size(GB)=1.25
run=482 | starting date=Mon Apr 19 04:56:34 2021 | nfiles=10 | size(GB)=1.25
run=233 | starting date=Sun Apr 18 18:33:04 2021 | nfiles=10 | size(GB)=1.25
run=199 | starting date=Sun Apr 18 17:44:38 2021 | nfiles=10 | size(GB)=1.25
run=495 | starting date=Mon Apr 19 05:08:24 2021 | nfiles=10 | size(GB)=1.25
run=527 | starting date=Mon Apr 19 05:39:37 2021 | nfiles=10 | size(GB)=1.25
run=457 | starting date=Mon Apr 19 04:34:27 2021 | nfiles=10 | size(GB)=1.25
run=180 | starting date=Sun Apr 18 17:19:21 2021 | nfiles=10 | size(GB)=1.25
run=508 | starting date=Mon Apr 19 05:19:58 2021 | nfiles=10 | size(GB)=1.25
run=397 | starting date=Mon Apr 19 02:33:39 2021 | nfiles=10 | size(GB)=1.25
run=248 | starting date=Sun Apr 18 20:33:04 2021 | nfiles=10 | size(GB)=1.25
run=301 | starting date=Sun Apr 18 22:56:53 2021 | nfiles=10 | size(GB)=1.25
run=382 | starting date=Mon Apr 19 01:58:15 2021 | nfiles=10 | size(GB)=1.25
run=280 | starting date=Sun Apr 18 22:11:58 2021 | nfiles=10 | size(GB)=1.25
run=507 | starting date=Mon Apr 19 05:19:02 2021 | nfiles=10 | size(GB)=1.25
run=246 | starting date=Sun Apr 18 20:28:48 2021 | nfiles=10 | size(GB)=1.25
run=250 | starting date=Sun Apr 18 20:37:17 2021 | nfiles=10 | size(GB)=1.25
run=160 | starting date=Sun Apr 18 16:53:51 2021 | nfiles=10 | size(GB)=1.25
run=485 | starting date=Mon Apr 19 04:59:15 2021 | nfiles=10 | size(GB)=1.25
run=214 | starting date=Sun Apr 18 18:06:42 2021 | nfiles=10 | size(GB)=1.25
run=389 | starting date=Mon Apr 19 02:13:51 2021 | nfiles=10 | size(GB)=1.25
run=141 | starting date=Sun Apr 18 16:24:51 2021 | nfiles=10 | size(GB)=1.25
run=224 | starting date=Sun Apr 18 18:20:40 2021 | nfiles=10 | size(GB)=1.25
run=493 | starting date=Mon Apr 19 05:06:33 2021 | nfiles=10 | size(GB)=1.25
run=333 | starting date=Mon Apr 19 00:05:44 2021 | nfiles=10 | size(GB)=1.25
run=103 | starting date=Sun Apr 18 15:20:21 2021 | nfiles=10 | size(GB)=1.25
run=285 | starting date=Sun Apr 18 22:22:15 2021 | nfiles=10 | size(GB)=1.25
run=96 | starting date=Sun Apr 18 15:11:30 2021 | nfiles=10 | size(GB)=1.25
run=419 | starting date=Mon Apr 19 03:38:43 2021 | nfiles=1 | size(GB)=0.11
run=251 | starting date=Sun Apr 18 20:39:21 2021 | nfiles=10 | size(GB)=1.25
run=367 | starting date=Mon Apr 19 01:24:00 2021 | nfiles=10 | size(GB)=1.25
run=398 | starting date=Mon Apr 19 02:36:02 2021 | nfiles=10 | size(GB)=1.25
run=182 | starting date=Sun Apr 18 17:22:12 2021 | nfiles=10 | size(GB)=1.25
run=363 | starting date=Mon Apr 19 01:15:15 2021 | nfiles=10 | size(GB)=1.25
run=113 | starting date=Sun Apr 18 15:33:34 2021 | nfiles=10 | size(GB)=1.25
run=178 | starting date=Sun Apr 18 17:16:30 2021 | nfiles=10 | size(GB)=1.25
run=200 | starting date=Sun Apr 18 17:46:06 2021 | nfiles=10 | size(GB)=1.25
run=157 | starting date=Sun Apr 18 16:49:59 2021 | nfiles=10 | size(GB)=1.25
