RunList:                        51000-76028 128000-141106
SignalIn:			Q3.Amplitude
SignalOut:			Energy
CalibType:			ChannelEnergyQ3
CalibClass:			LightEnergyCsI
ZRange:			1
CSI-12:			5.18509,0.191589,10,2.07866
CSI-13:			5.21215,0.203943,10,2.05183
CSI-14:			4.82888,0.253349,10,2.22911
CSI-22:			5.43976,0.136285,10,1.76612e-07
CSI-23:			5.36657,0.266351,10,2.67021
CSI-24:			5.58141,0.125198,10,2.52831e-06
CSI-31:			3.97296,0.0938598,10,1.10291e-07
CSI-32:			4.92181,0.203056,10,1.89501
CSI-33:			4.94859,0.11001,10,3.24126e-07
CSI-34:			2.4238,0.245189,10,3.16356
CSI-41:			5.3987,0.283437,10,1.93788
CSI-42:			4.82595,0.202352,10,1.45769
CSI-43:			5.75289,0.141175,10,0.191746
CSI-44:			5.06783,0.299516,10,2.27848
CSI-111:			5.24341,0.306272,10,2.43478
CSI-113:			5.7205,0.220757,10,2.2502
CSI-114:			4.92391,0.295483,10,2.45616
CSI-121:			5.23274,0.125487,10,0.242115
CSI-122:			5.80863,0.530703,10,3.89874
CSI-123:			5.53993,0.317597,10,3.08094
CSI-124:			5.3614,0.253825,10,2.98121
CSI-131:			5.38974,0.133831,10,0.162057
CSI-132:			5.32481,0.215166,10,1.48982
CSI-133:			5.50546,0.208414,10,1.76428
CSI-134:			5.53062,0.245731,10,1.75817
CSI-141:			5.12842,0.202113,10,1.69932
CSI-142:			4.92126,0.164973,10,1.25622
CSI-143:			5.10965,0.161886,10,1.02884
CSI-144:			5.49223,0.264044,10,2.10895
CSI-211:			5.12519,0.121631,10,0.587446
CSI-212:			4.48429,0.208716,10,0.542664
CSI-214:			4.9386,0.213102,10,1.64588
CSI-221:			5.08008,0.107872,10,8.99011e-07
CSI-222:			5.21917,0.176929,10,0.827553
CSI-223:			4.93963,0.128738,10,0.389578
CSI-224:			4.94347,0.207727,10,2.20628
CSI-232:			4.90033,0.311118,10,1.3289
CSI-234:			5.07682,0.192356,10,1.02151
CSI-241:			3.74528,0.122777,10,0.722294
CSI-242:			4.53666,0.132496,10,0.767073
CSI-243:			4.62335,0.319458,10,2.94205
CSI-244:			4.66842,0.139711,10,0.728654
CSI-311:			5.32355,0.140403,10,0.485173
CSI-312:			5.36721,0.26511,10,4.44118
CSI-313:			5.71936,0.180115,10,8.12952e-10
CSI-321:			5.03084,0.314736,10,1.33679
CSI-322:			4.96537,0.142029,10,0.233621
CSI-323:			5.18114,0.193574,10,1.49594
CSI-324:			4.86557,0.149799,10,0.372492
CSI-331:			4.57069,0.11195,10,3.10734e-08
CSI-333:			4.35554,0.106211,10,1.38819e-09
CSI-334:			4.89185,0.101327,10,0.0196806
CSI-341:			4.69285,0.10363,10,2.76057e-09
CSI-342:			4.8161,0.174833,10,4.0003
CSI-344:			4.50868,0.217046,10,0.751662
CSI-411:			5.63173,0.118893,10,0.258553
CSI-412:			5.50421,0.277648,10,3.56309
CSI-413:			5.80677,0.165523,10,1.31575
CSI-414:			5.88498,0.111031,10,3.27095e-05
CSI-422:			5.73113,0.116396,10,1.04003
CSI-424:			5.73933,0.18966,10,1.02768
CSI-431:			5.02372,0.0989591,10,1.88096e-06
CSI-432:			5.0588,0.199861,10,2.29562
CSI-433:			5.38073,0.150561,10,0.720882
CSI-434:			5.44877,0.200339,10,1.29595
CSI-441:			5.22439,0.145187,10,0.357922
CSI-442:			4.11957,0.125268,10,0.337263
CSI-443:			5.20561,0.124736,10,1.00791e-05
CSI-444:			5.45602,0.185291,10,1.59987
CSI-511:			4.9162,0.145412,10,1.46879
CSI-512:			5.2837,0.0840602,10,9.50794e-07
CSI-513:			5.4786,0.0974187,10,5.57182e-08
CSI-514:			5.02633,0.131853,10,2.78189
CSI-521:			6.09169,0.223484,10,1.45184
CSI-522:			5.20183,0.179263,10,2.04412
CSI-523:			5.25274,0.484498,10,3.05603
CSI-524:			5.37153,0.191061,10,2.02971
CSI-531:			4.87511,0.13547,10,1.47319
CSI-532:			5.42935,0.172217,10,1.24873
CSI-533:			5.35255,0.224902,10,2.27446
CSI-534:			5.17278,0.08535,10,6.04824e-07
CSI-541:			5.34205,0.163247,10,1.27662
CSI-542:			3.80171,0.133359,10,1.21979
CSI-543:			5.10618,0.118641,10,0.194654
CSI-544:			5.51207,0.191269,10,2.01696
CSI-611:			5.70542,0.17,10,1.66055
CSI-613:			5.06659,0.0994231,10,3.58039e-07
CSI-614:			5.6699,0.148421,10,0.738089
CSI-621:			5.32731,0.10564,10,1.01712
CSI-631:			5.23586,0.108099,10,6.20471e-08
CSI-632:			4.75718,0.110414,10,0.291651
CSI-633:			4.12453,0.099471,10,6.51352e-08
CSI-641:			4.69422,0.131916,10,0.836537
CSI-642:			4.36856,0.243522,10,1.59262
CSI-643:			4.92814,0.138628,10,0.78043
CSI-644:			4.79942,0.164996,10,0.92951
CSI-711:			5.17732,0.0911683,10,0.722305
CSI-712:			4.88902,0.06982,10,0.335758
CSI-713:			5.1521,0.079644,10,1.00185e-09
CSI-714:			4.95854,0.182904,10,3.0845
CSI-721:			5.19148,0.096547,10,0.634398
CSI-722:			5.32114,0.140114,10,1.69094
CSI-724:			5.21145,0.078317,10,4.948e-09
CSI-733:			4.98039,0.145128,10,1.92585
CSI-734:			5.24903,0.0872912,10,5.58368e-06
CSI-741:			4.63982,0.105423,10,1.59449
CSI-742:			4.59885,0.0863431,10,1.31038
CSI-743:			4.73194,0.375701,10,3.85644
CSI-744:			4.95674,0.0947664,10,0.525168
CSI-812:			4.75624,0.144563,10,0.83948
CSI-813:			4.0427,0.108826,10,3.3314e-07
CSI-814:			3.94122,0.398986,10,2.77707
CSI-821:			4.93966,0.261791,10,2.89919
CSI-822:			3.28018,0.271054,10,3.24571
CSI-823:			5.04278,0.24124,10,2.37127
CSI-824:			4.96657,0.255474,10,1.5098
CSI-832:			4.93988,0.118052,10,1.03294
CSI-833:			4.98651,0.114413,10,0.11984
CSI-834:			4.79538,0.0971264,10,7.89596e-08
CSI-841:			3.45344,0.0942956,10,0.193425
CSI-842:			4.90458,0.195046,10,1.16672
CSI-844:			3.38522,0.141148,10,1.48932
CSI-911:			4.96059,0.409613,10,3.16538
CSI-912:			4.67665,0.229496,10,4.09145
CSI-913:			4.90713,0.281957,10,4.63118
CSI-914:			4.88826,0.210521,10,2.45101
CSI-921:			4.20372,0.112673,10,1.15813e-07
CSI-922:			4.85134,0.149545,10,1.71567
CSI-933:			4.6767,0.256091,10,3.18338
CSI-934:			4.02243,0.203522,10,2.5109
CSI-941:			5.17335,0.322272,10,3.015
CSI-942:			5.52468,0.145301,10,1.09512
CSI-943:			5.07286,0.138098,10,1.17826
CSI-944:			5.12506,0.095509,10,0.235648
CSI-1011:			4.82488,0.196257,10,2.14701
CSI-1012:			4.77427,0.0899829,10,4.80468e-06
CSI-1013:			5.17076,0.135947,10,1.22972
CSI-1021:			4.42811,0.169086,10,2.23121
CSI-1022:			4.68643,0.165402,10,1.24165
CSI-1023:			4.95121,0.278041,10,2.59014
CSI-1031:			4.89754,0.117726,10,1.07511e-06
CSI-1032:			3.55488,0.250769,10,4.87873
CSI-1034:			4.60354,0.14399,10,0.415595
