RunList:                        51000-76028 128000-141106
SignalIn:			Q3.FPGAEnergy
SignalOut:			Energy
CalibType:			ChannelEnergyQ3
CalibClass:			LightEnergyCsI
ZRange:			2
CSI-11:			4.28876,0.297362,8.49031,2.99581
CSI-12:			5.00039,0.352401,2.35358,0.706545
CSI-13:			5.08121,0.56349,1.34959e-08,0.644204
CSI-14:			4.65853,0.623028,2.29571e-07,0.689133
CSI-21:			1.84473,0.35511,8.61649,2.79424
CSI-22:			4.9538,0.315062,8.6015,1.41874
CSI-23:			5.20525,0.401057,7.01816e-10,0.550233
CSI-24:			5.41294,0.268379,5.99809,0.585691
CSI-31:			3.91172,0.314376,1.2346e-07,0.385785
CSI-32:			4.73812,0.425982,1.6762e-10,0.573128
CSI-33:			4.78739,0.355852,8.42292e-09,0.446083
CSI-34:			2.41582,0.586805,1.3737e-08,0.565874
CSI-41:			5.17756,0.31348,6.23558,0.748841
CSI-42:			4.75665,0.293783,1.06755e-09,0.312536
CSI-43:			5.54686,0.282011,7.70596,0.770292
CSI-44:			4.97771,0.399306,4.92157e-06,0.457462
CSI-111:			5.16504,0.421733,8.19248e-09,0.470304
CSI-113:			5.58723,0.31089,10,1.22575
CSI-114:			4.78257,0.408865,7.05425e-10,0.524296
CSI-121:			5.13623,0.564233,7.68797e-09,0.580759
CSI-122:			5.32753,0.391501,8.18295,1.56345
CSI-123:			5.54837,0.246798,10,0.588974
CSI-124:			5.36388,0.477313,8.5323e-09,0.549281
CSI-131:			5.21673,0.290438,4.3282,0.490487
CSI-132:			5.17985,0.402843,1.38802e-07,0.461892
CSI-133:			5.30198,0.382596,4.76313,0.823554
CSI-134:			5.36701,0.472717,0.164503,0.549711
CSI-141:			5.02137,0.502082,8.73415e-06,0.553099
CSI-142:			4.78692,0.287474,7.25898,0.830565
CSI-143:			5.02938,0.591032,1.64406e-07,0.591803
CSI-144:			5.42526,0.389248,8.50517e-09,0.406066
CSI-211:			4.98921,0.452664,1.03231e-06,0.537178
CSI-212:			4.47507,0.296489,1.79815e-07,0.121628
CSI-214:			4.8183,0.486363,1.59821e-07,0.557442
CSI-221:			4.93159,0.482808,6.09455e-06,0.608834
CSI-222:			5.00438,0.392024,1.42136e-08,0.497746
CSI-223:			4.75525,0.320657,1.9203e-08,0.443979
CSI-224:			4.68852,0.35493,9.10661,1.5798
CSI-232:			4.49893,0.483799,7.78699e-08,0.604277
CSI-233:			3.72311,0.294596,8.04976,3.03229
CSI-234:			4.83917,0.236115,3.69657e-08,0.290272
CSI-241:			3.58529,0.336069,3.95626,0.840439
CSI-242:			4.49757,0.368225,1.77979e-07,0.464172
CSI-243:			4.50116,0.595013,8.60482e-07,0.685429
CSI-244:			4.49938,0.481294,3.98186e-06,0.618534
CSI-311:			5.21684,0.299538,1.1098e-09,0.31776
CSI-312:			5.03293,1.27481,4.96828e-10,1.02793
CSI-313:			5.4663,0.311483,2.36891e-08,0.339105
CSI-314:			3.62005,0.210766,10,2.21935
CSI-321:			4.83883,0.24825,5.83124,1.4095e-08
CSI-322:			4.84139,0.315102,0.689356,0.369585
CSI-323:			5.03989,0.408198,8.66402e-08,0.507228
CSI-324:			4.75952,0.349689,1.16752e-09,0.399597
CSI-331:			4.49599,0.409412,9.4113e-08,0.53427
CSI-332:			4.78824,0.216774,9.3052,2.70978
CSI-333:			4.30367,0.299857,8.40345e-09,0.315833
CSI-334:			4.84984,0.287342,5.10734e-09,0.38582
CSI-341:			4.59412,0.39413,1.01982e-08,0.510792
CSI-342:			4.60053,0.218191,9.23232,2.05514
CSI-343:			1.06911,20,10,1.24248
CSI-344:			4.28694,0.249846,7.1714e-09,0.154865
CSI-411:			5.6378,0.375137,2.14922e-08,0.406989
CSI-412:			5.35658,0.858014,9.22551e-08,0.815288
CSI-413:			5.73785,0.369373,1.83649e-07,0.440432
CSI-414:			5.84943,0.340782,3.94329e-08,0.366249
CSI-422:			5.61091,0.299127,1.59677,0.484381
CSI-423:			5.03028,0.329795,6.49481,2.4567
CSI-424:			5.51021,0.26985,7.95845,0.813818
CSI-431:			4.98561,0.473655,3.0743e-08,0.526294
CSI-432:			4.81578,0.429654,3.83912,0.954863
CSI-433:			5.17791,0.357235,2.99827,0.681495
CSI-434:			5.26971,0.288806,1.65814e-08,0.29179
CSI-441:			5.09727,0.426698,4.76198e-09,0.51793
CSI-442:			3.9401,0.308624,8.26585,1.11354
CSI-443:			5.06065,0.451673,3.65622e-06,0.541277
CSI-444:			5.30199,0.490122,1.90453e-07,0.580081
CSI-511:			4.79442,0.67802,5.24174e-07,0.696718
CSI-512:			5.42279,0.285951,2.53282e-09,0.324669
CSI-513:			5.11271,0.297437,10,1.73504
CSI-514:			4.98297,0.29998,1.41875e-09,0.533392
CSI-521:			5.90931,0.448803,5.431e-08,0.541167
CSI-522:			5.10334,0.472689,0.0465119,0.607874
CSI-523:			5.05967,0.556948,3.90956e-08,0.541065
CSI-524:			5.32922,0.350621,0.95445,0.47155
CSI-531:			4.87219,0.349313,2.28701e-08,0.443833
CSI-532:			5.32121,0.326483,9.517e-09,0.462131
CSI-533:			5.15821,0.372547,2.49033,0.707397
CSI-534:			5.1421,0.449123,6.14115e-10,0.578408
CSI-541:			5.13352,0.267606,6.34752,0.81293
CSI-542:			3.73977,0.195773,10,0.418292
CSI-543:			5.04076,0.352541,4.17109e-07,0.450538
CSI-544:			5.40068,0.330971,4.33735,0.762179
CSI-611:			5.63836,0.42628,6.01414e-07,0.522475
CSI-613:			5.04114,0.437273,1.1128e-07,0.540102
CSI-614:			5.40718,0.44996,2.61849,0.855071
CSI-621:			5.42906,0.280884,1.8668e-07,0.367146
CSI-624:			4.79362,0.280665,10,3.41358
CSI-631:			5.23372,0.472714,1.48934e-08,0.571101
CSI-632:			4.70386,0.302345,7.53135e-09,0.382219
CSI-633:			4.0245,0.281361,1.12902,0.435924
CSI-641:			4.63446,0.465296,2.90964e-08,0.569723
CSI-642:			4.0147,0.280249,7.411,1.06013
CSI-643:			4.8428,0.481507,1.89623e-09,0.562517
CSI-644:			4.67873,0.34732,9.9147e-08,0.407612
CSI-711:			5.15274,0.352366,3.84714e-09,0.515216
CSI-712:			4.86678,0.277419,2.71137e-08,0.422883
CSI-713:			5.07088,0.326025,2.74357e-09,0.483819
CSI-714:			4.92101,0.286652,6.63511e-09,0.501712
CSI-721:			5.16365,0.263359,1.97164e-09,0.341256
CSI-722:			5.09425,0.392007,5.63432e-07,0.703645
CSI-724:			5.12437,0.349643,1.45984e-09,0.539104
CSI-733:			4.90938,0.333473,1.21543e-08,0.553941
CSI-734:			5.13564,0.322758,3.36495e-08,0.521296
CSI-741:			4.49498,0.218269,8.59814e-10,0.285593
CSI-742:			4.56975,0.311734,2.82573e-10,0.497709
CSI-743:			4.45611,0.346999,0.540178,0.683151
CSI-744:			4.92579,0.366365,1.41616e-07,0.515489
CSI-812:			4.59746,0.56497,1.81247e-08,0.644182
CSI-813:			3.94376,0.38424,1.34429e-06,0.482293
CSI-814:			3.83834,0.486643,2.41645e-06,0.607413
CSI-821:			4.94425,0.420115,5.84655e-08,0.522744
CSI-822:			3.29742,0.431424,9.79316e-09,0.508905
